teacher,student,student_params,mean_judge,mean_resp_ppl,n,budget_pairs
Qwen3-8B,SmolLM2-135M,135M,0.12,20.805,100,400
Qwen3-8B,SmolLM2-360M,360M,0.2,12.257,100,400
Qwen3-8B,Qwen2.5-0.5B,0.5B,0.61,6.077,100,400
Qwen3-8B,Qwen3-0.6B,0.6B,0.52,5.98,100,400
Qwen3-8B,gemma-3-1b,1.0B,0.5,4.054,100,400
Qwen3-8B,gpt2,124M,0.05,166.159,100,400
Qwen3-8B,gemma-3-270m,270M,0.3,10.518,100,400
Qwen3-30B,SmolLM2-135M,135M,0.06,20.883,100,400
Qwen3-30B,SmolLM2-360M,360M,0.28,11.868,100,400
Qwen3-30B,Qwen2.5-0.5B,0.5B,0.53,9.72,100,400
Qwen3-30B,Qwen3-0.6B,0.6B,0.58,7.066,100,400
Qwen3-30B,gemma-3-1b,1.0B,0.72,7.918,100,400
Qwen3-30B,gpt2,124M,0.1,168.911,100,400
Qwen3-30B,gemma-3-270m,270M,0.21,12.244,100,400
gemma-3-27b-it,SmolLM2-135M,135M,0.09,20.985,100,400
gemma-3-27b-it,SmolLM2-360M,360M,0.22,12.367,100,400
gemma-3-27b-it,Qwen2.5-0.5B,0.5B,0.46,12.345,100,400
gemma-3-27b-it,Qwen3-0.6B,0.6B,0.49,8.125,100,400
gemma-3-27b-it,gemma-3-1b,1.0B,0.63,9.767,100,400
gemma-3-27b-it,gpt2,124M,0.05,164.446,100,400
gemma-3-27b-it,gemma-3-270m,270M,0.26,15.172,100,400
gemma-4-31b-it,SmolLM2-135M,135M,0.05,20.987,100,400
gemma-4-31b-it,SmolLM2-360M,360M,0.2,12.3,100,400
gemma-4-31b-it,Qwen2.5-0.5B,0.5B,0.55,12.543,100,400
gemma-4-31b-it,Qwen3-0.6B,0.6B,0.47,8.623,100,400
gemma-4-31b-it,gemma-3-1b,1.0B,0.71,9.883,100,400
gemma-4-31b-it,gpt2,124M,0.15,174.052,100,400
gemma-4-31b-it,gemma-3-270m,270M,0.26,17.646,100,400
